Trade Balance(1000$),China,US,Japan,Vietnam,India,Russia,SaudiArabia,UAE,Qatar,Total
2017.01,2792221,970969,-1629148,1603201,728212,-538416,-1048127,-267206,-1049826,2611597
2017.02,4517495,1558420,-2423603,2164619,731926,-336289,-1307053,-206086,-1117522,6963254
2017.03,2830153,1789027,-2761657,2994428,921026,-157298,-1183403,-255576,-785771,6058340
2017.04,2676320,1645272,-2458524,3214384,774152,-348815,-1184916,-202665,-752665,12884408
2017.05,2560931,820583,-2198004,2907394,704485,-393932,-1368571,-336638,-767449,5639215
2017.06,2323693,1174938,-2422395,3140186,734119,-13571,-1159537,-72221,-950127,10721439
2017.07,3022042,1578089,-2296592,2348143,1199626,-389839,-1067841,-582106,-994048,10223283
2017.08,3795891,1408533,-2428621,2226222,1661324,-424585,-1272490,-856960,-882468,6555797
2017.09,5097269,2520238,-2409535,3018107,708574,-649211,-1354618,-217444,-747211,13419356
2017.1,4648071,1278585,-2570584,2332353,519741,-670451,-887612,-429948,-912302,6934677
2017.11,4747569,2186795,-2211848,2925410,686642,-402423,-1028429,-223457,-837471,7693685
2017.12,5248232,928914,-2498072,2702401,737870,-808082,-1580826,-517869,-1034768,5511073
2018.01,4224375,229121,-1901299,2520086,771410,-660759,-1520416,-463618,-1271623,3415969
2018.02,3924300,154412,-2067069,2171202,772865,-571931,-1909194,-431032,-1347546,2801376
2018.03,5164151,871186,-2622691,2624522,686512,-707008,-1289020,-502251,-1194729,6412094
2018.04,4314645,1185057,-2456833,2163208,850299,-910437,-1447633,-265333,-987552,6156273
2018.05,4572180,1330941,-1908646,2259266,877502,-933991,-1691414,-415585,-981025,6229021
2018.06,5101223,1633347,-1871347,2401628,910114,-680498,-2441305,-540717,-1617436,6079212
2018.07,4851955,1247287,-2043148,2249107,939823,-1044893,-1921139,139395,-1256339,6893211
2018.08,5875989,1215157,-1822728,2648902,958058,-853100,-2177635,-305668,-1116244,6819671
2018.09,6700639,1473587,-1712014,2319260,800240,-840516,-1791965,-718045,-1524229,9617280
2018.1,4803932,1392310,-2208110,2188883,683837,-797026,-2351457,-367207,-1439618,6379692
2018.11,3706677,1962348,-1614845,2885973,721146,-1300135,-2248866,-369725,-1391576,4671331
2018.12,2396398,1156867,-1846441,2546675,749706,-882857,-1593766,-459120,-1639732,4182099
2019.01,497512,918778,-1432973,2060142,957064,-510507,-1556351,-394850,-1253432,1015545
2019.02,2948739,1071263,-1511136,2233816,848737,-762935,-1773576,-338705,-1367019,2830366
2019.03,2637999,1296969,-2053729,2272914,990156,-751723,-1197542,-265856,-891943,5010857
2019.04,2636759,572688,-2355689,2343748,891462,-337822,-1803203,-597563,-814348,3733992
2019.05,1071094,987605,-1182275,2148098,846326,-308777,-1701074,-421236,-991739,2084281
2019.06,1766405,1577657,-1626019,2073206,748383,-394626,-1751826,-272843,-1199628,3903592
2019.07,2051221,729968,-1658399,2413822,917980,-626261,-1519660,-536973,-947869,2315976
2019.08,2974826,444720,-1643832,2495059,818939,-635056,-1932897,-490247,-1331103,1562815
2019.09,3165318,931891,-1511885,2043804,690754,-317559,-1189770,-226774,-977718,5887580
2019.1,3027860,1394632,-1443505,2211636,692036,-826368,-1205449,-655410,-746221,5252239
2019.11,2922951,991906,-1112551,2451409,575631,-653481,-1351552,-529827,-1032576,3311507
2019.12,3273112,547257,-1628648,2358538,553575,-667258,-1160558,-791092,-1125667,1980912
2020.01,213805,163272,-728307,2235302,660658,-742154,-1762735,-541211,-1060234,384960
2020.02,3271893,496560,-1506934,2433384,869372,-684930,-1474106,-628042,-899083,3934572
2020.03,1687723,1909344,-1904993,2090447,726285,-714925,-1217161,-192610,-663254,4363344
2020.04,525028,235410,-2003916,1148521,91567,-298290,-637737,-62457,-671582,-1662429
2020.05,1749759,296534,-1323241,1286701,135174,-355198,-483198,42734,-558892,192537
2020.06,2517548,1138063,-1724248,1917543,274836,-202884,-674618,10954,-391417,3419211
2020.07,2541631,2151900,-1862992,2417540,443176,-210823,-1424185,-208201,-442575,3935959
2020.08,2677575,967585,-1777178,2256595,488034,-169151,-851464,-107504,-546079,3651302
2020.09,3018673,2343191,-1715509,2825917,1057143,-58283,-835376,-157253,-422663,8419758
2020.1,1905072,2198751,-2068617,2731639,686839,-46074,-1149740,20183,-477480,5724739
2020.11,1743688,2476168,-1931412,3048042,758565,-109548,-782903,-15866,-527179,5807120
